date;idBoutique;produit;montantHt
2024-02-02;B04;Souris;11.90
2024-03-03;B04;Ecran;12.90
2024-04-04;B04;Casque;13.90
2024-05-05;B04;Webcam;14.90
2024-06-06;B04;Cable;15.90
2024-07-07;B04;Chargeur;16.90
2024-08-08;B04;Enceinte;17.90
2024-09-09;B04;Clavier;18.90
2024-10-10;B04;Souris;19.90
2024-11-11;B04;Ecran;20.90
2024-12-12;B04;Casque;21.90
2024-01-13;B04;Webcam;22.90
2024-02-14;B04;Cable;23.90
2024-03-15;B04;Chargeur;24.90
2024-04-16;B04;Enceinte;25.90
2024-05-17;B04;Clavier;26.90
2024-06-18;B04;Souris;27.90
2024-07-19;B04;Ecran;28.90
2024-08-20;B04;Casque;29.90
2024-09-21;B04;Webcam;30.90
2024-10-22;B04;Cable;31.90
2024-11-23;B04;Chargeur;32.90
2024-12-24;B04;Enceinte;33.90
2024-01-25;B04;Clavier;34.90
2024-02-26;B04;Souris;35.90
2024-03-27;B04;Ecran;36.90
2024-04-28;B04;Casque;37.90
2024-05-01;B04;Webcam;38.90
2024-06-02;B04;Cable;39.90
2024-07-03;B04;Chargeur;40.90
2024-08-04;B04;Enceinte;41.90
2024-09-05;B04;Clavier;42.90
2024-10-06;B04;Souris;43.90
2024-11-07;B04;Ecran;44.90
2024-12-08;B04;Casque;45.90
2024-01-09;B04;Webcam;46.90
2024-02-10;B04;Cable;47.90
2024-03-11;B04;Chargeur;48.90
2024-04-12;B04;Enceinte;49.90
2024-05-13;B04;Clavier;10.90
2024-06-14;B04;Souris;11.90
2024-07-15;B04;Ecran;12.90
2024-08-16;B04;Casque;13.90
2024-09-17;B04;Webcam;14.90
2024-10-18;B04;Cable;15.90
2024-11-19;B04;Chargeur;16.90
2024-12-20;B04;Enceinte;17.90
2024-01-21;B04;Clavier;18.90
2024-02-22;B04;Souris;19.90
2024-03-23;B04;Ecran;20.90
