date;idBoutique;produit;montantHt
2026-03-02;B05;Ordinateur portable 15;1149.00
2026-03-03;B05;Station de travail;2390.00
2026-03-04;B06;Imprimante laser;349.00
2026-03-05;B06;Scanner A3;529.90
2026-03-06;B07;Videoprojecteur 4K;899.00
2026-03-07;B05;Tablette graphique;259.90
2026-03-08;B07;Serveur NAS 4 baies;679.00
2026-03-09;B06;Onduleur 1500VA;189.90
2026-03-10;B07;Switch reseau 24 ports;229.00
2026-03-11;B05;Ecran 34 pouces incurve;749.00
2026-03-12;B06;Casque VR;449.00
2026-03-13;B07;Chaise ergonomique;399.90
